start-time             |end-time               |duration|rtt     |proto|sip                                   |sp   |dip                                     |dp   |srcMacAddress    |destMacAddress   |iflags  |uflags  |riflags |ruflags |isn     |risn    |tag|rtag|pkt    |oct     |rpkt    |roct    |end-reason
2024-01-11 10:30:41.797|2024-01-11 11:00:20.966|1779.169|   0.025|  6|                           192.168.1.174|62326|                          212.227.17.170|  143|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|      AP|      AP|      AP|be6df3d0|19323ec7|000|000|      69|    5028|      39|    6066|active 
2024-01-11 10:30:41.797|2024-01-11 11:00:20.708|1778.911|   0.026|  6|                           192.168.1.174|62327|                          212.227.17.170|  143|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|      AP|      AP|      AP|c3cf5429|166f8aa2|000|000|     144|   13734|     219|  232676|active 
2024-01-11 10:55:50.351|2024-01-11 10:55:50.351|   0.000|   0.000| 58|               fe80::de39:6fff:fef7:bf70|    0|                    ff02::0001:ff34:9e1a|34560|dc:39:6f:f7:bf:70|33:33:ff:34:9e:1a|       0|       0|       0|       0|00000000|00000000|000|000|       1|      72|       0|       0|idle 
2024-01-11 10:55:50.424|2024-01-11 10:55:50.424|   0.000|   0.000| 58| 2a03:9b40:20e7:7900:1038:b67e:6e34:9e1a|    0|               fe80::de39:6fff:fef7:bf70|34816|a4:50:46:6e:2d:5b|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      72|       0|       0|idle 
2024-01-11 10:55:50.323|2024-01-11 10:55:50.528|   0.205|   0.101|  6| 2a03:9b40:20e7:7900:1038:b67e:6e34:9e1a|42736|               2a00:1450:400c:0c06::00bc| 5228|a4:50:46:6e:2d:5b|dc:39:6f:f7:bf:70|      AP|       A|      AP|       A|4d787606|d7afcd53|000|000|       2|     172|       2|     170|idle 
2024-01-11 10:55:50.909|2024-01-11 10:55:50.923|   0.014|   0.014| 17|                             192.168.1.2|58168|                             192.168.1.1|   53|00:e0:4c:53:44:58|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      77|       1|      93|idle 
2024-01-11 10:55:51.905|2024-01-11 10:55:51.906|   0.001|   0.001| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|46704|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      89|       1|     282|idle 
2024-01-11 10:55:51.905|2024-01-11 10:55:51.908|   0.003|   0.003| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|10301|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      89|       1|     282|idle 
2024-01-11 10:55:51.905|2024-01-11 10:55:51.920|   0.015|   0.015| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 2553|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      89|       1|     221|idle 
2024-01-11 10:55:52.319|2024-01-11 10:55:52.319|   0.000|   0.000|  6|                            99.80.34.170|  443|                            192.168.1.88|54311|dc:39:6f:f7:bf:70|dc:fe:23:39:28:6c|       A|       0|       0|       0|b716a6b7|00000000|000|000|       1|      40|       0|       0|idle 
2024-01-11 11:00:53.901|2024-01-11 11:00:54.400|   0.499|   0.001|  6|                            192.168.1.10|45670|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|eb041527|afbf612b|000|000|       5|     423|       5|    1278|
2024-01-11 11:00:52.269|2024-01-11 11:00:54.523|   2.254|   0.022|  6| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|57228|               2a00:1450:400c:0c0c::006c|  993|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|     APF|      AP|     APF|45e02716|f6b14ab4|000|000|      40|    7383|      66|   12428|
2024-01-11 11:00:53.620|2024-01-11 11:00:54.523|   0.903|   0.022|  6| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|57791|               2a00:1450:400c:0c07::006d|  993|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|     ECS|     APF|      AS|     APF|a9f8375c|be86d941|000|000|      20|    2507|      19|    6877|
2024-01-11 11:00:54.412|2024-01-11 11:00:54.718|   0.306|   0.000|  6|                            192.168.1.10|45672|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|29201e7a|f83dcb93|000|000|       5|     488|       5|    1461|
2024-01-11 11:00:47.728|2024-01-11 11:00:54.729|   7.001|   0.000|  6|                            192.168.1.10|52070|                             192.168.1.1|49000|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|5aecb301|143e4de6|000|000|     186|   19017|     168|  485643|
2024-01-11 10:57:52.402|2024-01-11 11:00:54.752| 182.350|   0.104|  6| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|57625| 2600:1f18:612b:4280:67cf:789f:f482:a995|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|     ECS|     APF|     EAS|     APF|e0e86c67|0fe69505|000|000|      21|    3749|      23|    8340|
2024-01-11 10:55:52.870|2024-01-11 10:55:52.874|   0.004|   0.004| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|28716|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     162|idle 
2024-01-11 10:55:52.870|2024-01-11 10:55:52.876|   0.006|   0.006| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|39484|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     162|idle 
2024-01-11 10:55:52.879|2024-01-11 10:55:52.879|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|19486|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     184|       0|       0|idle 
2024-01-11 10:55:52.881|2024-01-11 10:55:52.881|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|61814|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     184|       0|       0|idle 
2024-01-11 10:55:52.882|2024-01-11 10:55:52.882|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|17511|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     215|       0|       0|idle 
2024-01-11 10:55:52.883|2024-01-11 10:55:52.883|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|53876|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     166|       0|       0|idle 
2024-01-11 10:55:52.898|2024-01-11 10:55:52.898|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|22491|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     201|       0|       0|idle 
2024-01-11 10:55:52.899|2024-01-11 10:55:52.899|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|17499|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     331|       0|       0|idle 
2024-01-11 10:55:52.870|2024-01-11 10:55:52.902|   0.032|   0.032| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 8220|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     128|idle 
2024-01-11 10:55:52.905|2024-01-11 10:55:52.905|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 9614|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     228|       0|       0|idle 
2024-01-11 10:55:52.908|2024-01-11 10:55:52.908|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|44780|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     215|       0|       0|idle 
