20191226-104501 ; RECEIVED ; 556641881 ; SENT ; 1609917955
20191226-105001 ; RECEIVED ; 591152526 ; SENT ; 1611883906
20191226-105501 ; RECEIVED ; 637423732 ; SENT ; 1614465554
20191226-110001 ; RECEIVED ; 654495918 ; SENT ; 1616900397
20191226-110501 ; RECEIVED ; 660618778 ; SENT ; 1618195717
20191226-111001 ; RECEIVED ; 670139354 ; SENT ; 1623959071
20191226-111501 ; RECEIVED ; 679812096 ; SENT ; 1631593244
20191226-112001 ; RECEIVED ; 700997015 ; SENT ; 1633911695
20191226-112501 ; RECEIVED ; 704722590 ; SENT ; 1634697512
20191226-113001 ; RECEIVED ; 708128191 ; SENT ; 1635582802
20191226-113501 ; RECEIVED ; 715231396 ; SENT ; 1638217527
20191226-114001 ; RECEIVED ; 746369885 ; SENT ; 1639360025
20191226-114501 ; RECEIVED ; 863166270 ; SENT ; 1642181619
20191226-115001 ; RECEIVED ; 954996382 ; SENT ; 1644346884
20191226-115501 ; RECEIVED ; 1081736602 ; SENT ; 1649440395
20191226-120001 ; RECEIVED ; 1139515075 ; SENT ; 1651206454
20191226-120501 ; RECEIVED ; 1214242119 ; SENT ; 1659349144
20191226-121001 ; RECEIVED ; 1258088575 ; SENT ; 1666553047
20191226-121501 ; RECEIVED ; 1269486498 ; SENT ; 1667573013
20191226-122001 ; RECEIVED ; 1279108743 ; SENT ; 1668320046
20191226-122501 ; RECEIVED ; 1302057235 ; SENT ; 1672270883
20191226-123001 ; RECEIVED ; 1353359642 ; SENT ; 1674588323
20191226-123501 ; RECEIVED ; 1380194806 ; SENT ; 1676152667
20191226-124001 ; RECEIVED ; 1403743687 ; SENT ; 1688225745
20191226-124501 ; RECEIVED ; 1415883969 ; SENT ; 1689722627
20191226-125001 ; RECEIVED ; 1428561843 ; SENT ; 1704143335
20191226-125501 ; RECEIVED ; 1439789770 ; SENT ; 1707067444
20191226-130001 ; RECEIVED ; 1447602011 ; SENT ; 1707740696
20191226-130501 ; RECEIVED ; 1530078474 ; SENT ; 1709821147
20191226-131001 ; RECEIVED ; 1549727137 ; SENT ; 1807327148
20191226-131501 ; RECEIVED ; 1552839666 ; SENT ; 1809990166
20191226-132001 ; RECEIVED ; 1561152351 ; SENT ; 1819317683
20191226-132501 ; RECEIVED ; 1573048375 ; SENT ; 1820149961
20191226-133001 ; RECEIVED ; 1584085240 ; SENT ; 1821838690
20191226-133501 ; RECEIVED ; 1585169092 ; SENT ; 1825694831
20191226-134001 ; RECEIVED ; 1585388489 ; SENT ; 1825914559
20191226-134501 ; RECEIVED ; 1590473388 ; SENT ; 1834113352
20191226-135001 ; RECEIVED ; 1592007902 ; SENT ; 1842876169
20191226-135501 ; RECEIVED ; 1592781840 ; SENT ; 1845532887
20191226-140001 ; RECEIVED ; 1594807157 ; SENT ; 1849835207
20191226-140501 ; RECEIVED ; 1601910264 ; SENT ; 1884123519
20191226-141002 ; RECEIVED ; 1606561267 ; SENT ; 1899929568
20191226-141501 ; RECEIVED ; 1607039746 ; SENT ; 1901811974
20191226-142001 ; RECEIVED ; 1607595608 ; SENT ; 1906886526
20191226-142501 ; RECEIVED ; 1609604550 ; SENT ; 1933740062
20191226-143001 ; RECEIVED ; 1610058455 ; SENT ; 1935141747
20191226-143502 ; RECEIVED ; 1623607504 ; SENT ; 1936960341
20191226-144001 ; RECEIVED ; 1630795733 ; SENT ; 1937325370
20191226-144501 ; RECEIVED ; 1631655784 ; SENT ; 1937744627
20191226-145001 ; RECEIVED ; 1644805920 ; SENT ; 1939061135
20191226-145501 ; RECEIVED ; 1665160743 ; SENT ; 1939843953
20191226-150001 ; RECEIVED ; 1672301808 ; SENT ; 1940433495
20191226-150501 ; RECEIVED ; 1730425937 ; SENT ; 1942429253
20191226-151001 ; RECEIVED ; 1753212504 ; SENT ; 1943727352
20191226-151501 ; RECEIVED ; 1777212335 ; SENT ; 1944936291
20191226-152001 ; RECEIVED ; 1799677622 ; SENT ; 1945990143
20191226-152501 ; RECEIVED ; 1820313831 ; SENT ; 1947121924
20191226-153001 ; RECEIVED ; 1840236522 ; SENT ; 1948451320
20191226-153501 ; RECEIVED ; 1865453460 ; SENT ; 1950188540
20191226-154001 ; RECEIVED ; 1897321976 ; SENT ; 1951557703
20191226-154501 ; RECEIVED ; 1912718522 ; SENT ; 1972127627
20191226-155001 ; RECEIVED ; 1922910674 ; SENT ; 1975170062
20191226-155501 ; RECEIVED ; 1930465904 ; SENT ; 1975880395
20191226-160001 ; RECEIVED ; 1931599056 ; SENT ; 1979038116
20191226-160502 ; RECEIVED ; 1947095217 ; SENT ; 1982666499
20191226-161001 ; RECEIVED ; 1968919339 ; SENT ; 1987476970
20191226-161501 ; RECEIVED ; 1981529243 ; SENT ; 2000730788
20191226-162001 ; RECEIVED ; 2004563682 ; SENT ; 2005894083
20191226-162501 ; RECEIVED ; 2005022017 ; SENT ; 2006165850
20191226-163001 ; RECEIVED ; 2006836036 ; SENT ; 2006795856
20191226-163501 ; RECEIVED ; 2013576370 ; SENT ; 2007515055
20191226-164001 ; RECEIVED ; 2138232805 ; SENT ; 2011269983
20191226-164501 ; RECEIVED ; 2348003676 ; SENT ; 2014334633
20191226-165001 ; RECEIVED ; 2553015679 ; SENT ; 2017230573
20191226-165501 ; RECEIVED ; 2759984874 ; SENT ; 2019935409
20191226-170001 ; RECEIVED ; 2959437815 ; SENT ; 2022879013
20191226-170501 ; RECEIVED ; 3420231705 ; SENT ; 2031655016
20191226-171001 ; RECEIVED ; 3530037159 ; SENT ; 2033639627
