20191226-104501  ; RECEIVED_RATE ;  ; SENT_RATE ; 
20191226-105001  ; RECEIVED_RATE ; 920 ; SENT_RATE ; 48
20191226-105501  ; RECEIVED_RATE ; 1232 ; SENT_RATE ; 64
20191226-110001  ; RECEIVED_RATE ; 448 ; SENT_RATE ; 64
20191226-110501  ; RECEIVED_RATE ; 160 ; SENT_RATE ; 32
20191226-111001  ; RECEIVED_RATE ; 248 ; SENT_RATE ; 152
20191226-111501  ; RECEIVED_RATE ; 256 ; SENT_RATE ; 200
20191226-112001  ; RECEIVED_RATE ; 560 ; SENT_RATE ; 56
20191226-112501  ; RECEIVED_RATE ; 96 ; SENT_RATE ; 16
20191226-113001  ; RECEIVED_RATE ; 88 ; SENT_RATE ; 16
20191226-113501  ; RECEIVED_RATE ; 184 ; SENT_RATE ; 64
20191226-114001  ; RECEIVED_RATE ; 824 ; SENT_RATE ; 24
20191226-114501  ; RECEIVED_RATE ; 3112 ; SENT_RATE ; 72
20191226-115001  ; RECEIVED_RATE ; 2448 ; SENT_RATE ; 56
20191226-115501  ; RECEIVED_RATE ; 3376 ; SENT_RATE ; 128
20191226-120001  ; RECEIVED_RATE ; 1536 ; SENT_RATE ; 40
20191226-120501  ; RECEIVED_RATE ; 1992 ; SENT_RATE ; 216
20191226-121001  ; RECEIVED_RATE ; 1168 ; SENT_RATE ; 192
20191226-121501  ; RECEIVED_RATE ; 296 ; SENT_RATE ; 24
20191226-122001  ; RECEIVED_RATE ; 256 ; SENT_RATE ; 16
20191226-122501  ; RECEIVED_RATE ; 608 ; SENT_RATE ; 104
20191226-123001  ; RECEIVED_RATE ; 1368 ; SENT_RATE ; 56
20191226-123501  ; RECEIVED_RATE ; 712 ; SENT_RATE ; 40
20191226-124001  ; RECEIVED_RATE ; 624 ; SENT_RATE ; 320
20191226-124501  ; RECEIVED_RATE ; 320 ; SENT_RATE ; 32
20191226-125001  ; RECEIVED_RATE ; 336 ; SENT_RATE ; 384
20191226-125501  ; RECEIVED_RATE ; 296 ; SENT_RATE ; 72
